word,seat,tiles,sounds,source,in,note
-,,-,silent,expert,text,no seat to rule by - expert decides; the l48-01 dash artifact - punctuation is never a spoken tile
a,4,a,schwa_a,engine,bank+seat+text,
action,95,a-c-ti-o-n,short_a k sh schwa n,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel; likely-tier accepted: -tion o is schwa
adventure,96,a-d-v-e-n-tu-re,short_a d v short_e n ch er,engine engine engine engine engine engine engine,seat+text,open-syllable candidate at 72+ - expert decides the vowel
aesop,,a-e-s-o-p,long_e silent s short_o p,expert expert expert expert expert,text,
all,56,al-l,aw l,engine engine,seat+text,
alphabet,91,a-l-ph-a-b-e-t,short_a l f short_a b short_e t,engine engine engine engine engine engine engine,seat,open-syllable candidate at 72+ - expert decides the vowel
am,5,a-m,short_a m,engine engine,bank+seat+text,
amused,,a-m-u-s-e-d,short_a m long_u z silent d,expert expert expert expert expert expert,text,
an,1,a-n,short_a n,engine engine,bank+seat+text,
anchor,94,a-n-ch-or,short_a ng k er,engine engine engine engine,bank+seat+text,open-syllable candidate at 72+ - expert decides the vowel
ancient,95,a-n-ci-e-n-t,long_a n sh short_e n t,expert expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
and,8,a-n-d,short_a n d,engine engine engine,bank+seat+text,
animal,13,a-n-i-m-a-l,short_a n short_i m short_a l,engine engine engine engine engine engine,seat,
another,38,a-n-o-th-er,short_a n short_u th_this er,expert expert expert expert expert,seat+text,
ant,1,a-n-t,short_a n t,engine engine engine,bank+seat+text,
apple,48,a-pp-le,short_a p l,engine engine engine,seat+text,
apron,72,a-p-r-o-n,long_a p r schwa n,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
are,16,are,ar,engine,bank+seat+text,
arm,79,ar-m,ar m,engine engine,seat+text,
around,79,ar-ou-n-d,er ow n d,expert expert expert expert,seat+text,judgment-call accepted: unstressed ar as er
as,1,a-s,short_a z,engine engine,bank+seat+text,
ask,16,a-s-k,short_a s k,engine engine engine,bank+seat+text,
asked,43,a-s-k-e-d,short_a s k silent t,expert expert expert expert expert,seat+text,"the -ed of level 43: voiceless stem, e silent, d says t"
at,1,a-t,short_a t,engine engine,bank+seat+text,
ate,57,a-t-e,long_a t silent,engine engine engine,seat+text,
away,82,a-w-ay,schwa w long_a,expert expert expert,seat+text,tiling corrected: aw must not eat the sounded w
awful,98,aw-f-u-l,aw f short_u l,engine engine engine engine,seat,
ax,18,a-x,short_a x,engine engine,bank+seat+text,
babies,63,b-a-b-ie-s,b long_a b long_e z,expert expert expert expert expert,seat,
baby,72,b-a-b-y,b long_a b long_e,expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
back,26,b-a-ck,b short_a k,engine engine engine,bank+seat+text,
backpack,39,b-a-ck-p-a-ck,b short_a k p short_a k,engine engine engine engine engine engine,seat+text,
bacon,72,b-a-c-o-n,b long_a k schwa n,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
bad,12,b-a-d,b short_a d,engine engine engine,bank+seat+text,
badge,88,b-a-dge,b short_a j,engine engine engine,seat+text,
bag,12,b-a-g,b short_a g,engine engine engine,bank+seat+text,
banana,54,b-a-n-a-n-a,b short_a n short_a n short_a,engine engine engine engine engine engine,seat+text,
band,31,b-a-n-d,b short_a n d,engine engine engine engine,bank+seat+text,
bang,28,b-a-ng,b short_a ng,engine engine engine,bank+seat+text,
bank,31,b-a-n-k,b short_a n k,engine engine engine engine,seat+text,
barn,79,b-ar-n,b ar n,engine engine engine,seat+text,
bash,56,b-a-sh,b short_a sh,engine engine engine,bank+seat,
bat,12,b-a-t,b short_a t,engine engine engine,bank+seat+text,
bath,24,b-a-th,b short_a th_quiet,engine engine engine,bank+seat+text,
bathtub,24,b-a-th-t-u-b,b short_a th_quiet t short_u b,engine engine engine engine engine engine,seat,
be,10,b-e,b long_e,engine engine,bank+seat+text,
bed,12,b-e-d,b short_e d,engine engine engine,bank+seat+text,
behind,68,b-e-h-i-n-d,b short_e h long_i n d,engine engine engine lesson-68 engine engine,seat+text,
bell,56,b-e-ll,b short_e l,engine engine engine,bank+seat,
belt,31,b-e-l-t,b short_e l t,engine engine engine engine,bank+seat+text,
belts,32,b-e-l-t-s,b short_e l t s,engine engine engine engine engine,seat,
ben,,b-e-n,b short_e n,engine engine engine,text,
bench,23,b-e-n-ch,b short_e n ch,engine engine engine engine,seat,
benches,23,b-e-n-ch-e-s,b short_e n ch short_e z,expert expert expert expert expert expert,seat,final s buzzes to z after a voiced sound
bend,31,b-e-n-d,b short_e n d,engine engine engine engine,bank+seat,
besides,54,b-e-s-i-d-e-s,b short_e s long_i d silent z,expert expert expert expert expert expert expert,seat+text,
best,12,b-e-s-t,b short_e s t,engine engine engine engine,bank+seat+text,
bet,12,b-e-t,b short_e t,engine engine engine,bank+seat,
bib,12,b-i-b,b short_i b,engine engine engine,bank+seat+text,
big,12,b-i-g,b short_i g,engine engine engine,bank+seat+text,
biggest,46,b-i-gg-e-s-t,b short_i g short_e s t,engine engine engine engine engine engine,seat,
bill,21,b-i-ll,b short_i l,engine engine engine,seat+text,
bin,12,b-i-n,b short_i n,engine engine engine,bank+seat+text,
bird,83,b-ir-d,b er d,engine engine engine,seat,
birds,83,b-ir-d-s,b er d z,expert expert expert expert,seat+text,final s buzzes to z after a voiced sound
bit,12,b-i-t,b short_i t,engine engine engine,bank+seat+text,
bite,66,b-i-t-e,b long_i t silent,engine engine engine engine,seat+text,
biting,73,b-i-t-i-ng,b long_i t short_i ng,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
black,26,b-l-a-ck,b l short_a k,engine engine engine engine,bank+seat+text,
blend,35,b-l-e-n-d,b l short_e n d,engine engine engine engine engine,seat,
blind,35,b-l-i-n-d,b l long_i n d,expert expert expert expert expert,seat,
blue,76,b-l-ue,b l oo_moon,engine engine engine,seat+text,
boil,78,b-oi-l,b oi l,engine engine engine,seat,
book,75,b-oo-k,b oo_book k,engine seat-rule engine,seat+text,
born,81,b-or-n,b or n,engine engine engine,seat+text,
boss,56,b-o-ss,b short_o s,engine engine engine,bank+seat,
bought,92,b-ough-t,b aw t,engine seat-rule engine,seat+text,
box,18,b-o-x,b short_o x,engine engine engine,bank+seat+text,
boxes,47,b-o-x-e-s,b short_o x short_e z,expert expert expert expert expert,seat+text,final s buzzes to z after a voiced sound
boy,78,b-oy,b oi,engine engine,seat+text,
branches,23,b-r-a-n-ch-e-s,b r short_a n ch short_e z,expert expert expert expert expert expert expert,seat,final s buzzes to z after a voiced sound
bread,69,b-r-ea-d,b r short_e d,engine engine seat-rule engine,seat+text,
breakfast,69,b-r-ea-k-f-a-s-t,b r short_e k f short_a s t,engine engine seat-rule engine engine engine engine engine,seat+text,
bridge,88,b-r-i-dge,b r short_i j,engine engine engine engine,seat+text,
brief,63,b-r-ie-f,b r long_e f,engine engine seat-rule engine,seat,
bright,67,b-r-igh-t,b r long_i t,engine engine engine engine,seat+text,
bring,28,b-r-i-ng,b r short_i ng,engine engine engine engine,seat+text,
broke,64,b-r-o-k-e,b r long_o k silent,engine engine engine engine engine,seat+text,
brother,25,b-r-o-th-er,b r short_u th_this er,expert expert expert expert expert,seat+text,
brought,92,b-r-ough-t,b r aw t,engine engine seat-rule engine,seat+text,
brush,22,b-r-u-sh,b r short_u sh,engine engine engine engine,seat+text,
brushed,43,b-r-u-sh-e-d,b r short_u sh silent t,expert expert expert expert expert expert,seat+text,"the -ed of level 43: voiceless stem, e silent, d says t"
brushes,47,b-r-u-sh-e-s,b r short_u sh short_e z,expert expert expert expert expert expert,seat+text,final s buzzes to z after a voiced sound
brushing,37,b-r-u-sh-i-ng,b r short_u sh short_i ng,engine engine engine engine engine engine,seat+text,
bubble,48,b-u-bb-le,b short_u b l,engine engine engine engine,seat+text,
buck,60,b-u-ck,b short_u k,engine engine engine,bank+seat+text,
bucket,42,b-u-ck-e-t,b short_u k short_e t,engine engine engine engine engine,seat+text,
bud,60,b-u-d,b short_u d,engine engine engine,bank+seat,
bug,14,b-u-g,b short_u g,engine engine engine,bank+seat+text,
bugs,14,b-u-g-s,b short_u g z,engine engine engine engine,bank+seat+text,
bun,60,b-u-n,b short_u n,engine engine engine,bank+seat+text,
burn,83,b-ur-n,b er n,engine engine engine,seat+text,
bus,20,b-u-s,b short_u s,engine engine engine,bank+seat+text,
buses,41,b-u-s-e-s,b short_u s short_e z,expert expert expert expert expert,seat,final s buzzes to z after a voiced sound
bush,60,b-u-sh,b oo_book sh,engine engine engine,bank+seat+text,
bustle,93,b-u-s-tle,b short_u s l,engine engine engine engine,seat+text,open-syllable candidate at 72+ - expert decides the vowel
but,14,b-u-t,b short_u t,engine engine engine,bank+seat+text,
butter,46,b-u-tt-er,b short_u t er,engine engine engine engine,seat,
butterfly,52,b-u-tt-er-f-l-y,b short_u t er f l long_i,expert expert expert expert expert expert expert,seat,-fly says long i; the final-y position rule misfired on a compound
buzz,21,b-u-zz,b short_u z,engine engine engine,bank+seat+text,
buzzed,44,b-u-zz-e-d,b short_u z silent d,expert expert expert expert expert,seat,"the -ed of level 44: voiced stem, e silent, d stays d"
by,52,b-y,b long_i,engine position,seat+text,
cab,12,c-a-b,k short_a b,engine engine engine,bank+seat+text,
cage,,c-a-ge,k long_a j,engine engine engine,text,
cake,57,c-a-k-e,k long_a k silent,engine engine engine engine,seat+text,
cakes,57,c-a-k-e-s,k long_a k silent s,expert expert expert expert expert,seat+text,
came,57,c-a-m-e,k long_a m silent,engine engine engine engine,seat+text,
camp,5,c-a-m-p,k short_a m p,engine engine engine engine,bank+seat+text,
can,4,c-a-n,k short_a n,engine engine engine,bank+seat+text,
candle,48,c-a-n-d-le,k short_a n d l,engine engine engine engine engine,seat,
cap,4,c-a-p,k short_a p,engine engine engine,bank+seat+text,
capture,96,c-a-p-tu-re,k short_a p ch er,engine engine engine engine engine,seat+text,open-syllable candidate at 72+ - expert decides the vowel
car,79,c-ar,k ar,engine engine,seat+text,
card,79,c-ar-d,k ar d,engine engine engine,seat,
careful,85,c-are-f-u-l,k air f short_u l,engine engine engine engine engine,seat+text,
careless,85,c-are-l-e-ss,k air l short_e s,engine engine engine engine engine,seat+text,
cars,79,c-ar-s,k ar z,expert expert expert,seat,final s buzzes to z after a voiced sound
cash,70,c-a-sh,k short_a sh,engine engine engine,bank+seat+text,
castle,93,c-a-s-tle,k short_a s l,engine engine engine engine,seat+text,open-syllable candidate at 72+ - expert decides the vowel
cat,4,c-a-t,k short_a t,engine engine engine,bank+seat+text,
catch,88,c-a-tch,k short_a ch,engine engine engine,seat+text,
catnip,4,c-a-t-n-i-p,k short_a t n short_i p,engine engine engine engine engine engine,seat,
cats,6,c-a-t-s,k short_a t s,engine engine engine engine,bank+seat+text,
caught,82,c-augh-t,k aw t,engine engine engine,seat+text,
cent,87,c-e-n-t,s short_e n t,position engine engine engine,seat,
charm,79,ch-ar-m,ch ar m,engine engine engine,seat,
chat,23,ch-a-t,ch short_a t,engine engine engine,bank+seat,
check,,ch-e-ck,ch short_e k,engine engine engine,bank+text,
cheerful,98,ch-eer-f-u-l,ch ear f short_u l,engine engine engine engine engine,seat,
chess,,ch-e-ss,ch short_e s,engine engine engine,bank+text,
chest,23,ch-e-s-t,ch short_e s t,engine engine engine engine,seat,
chick,26,ch-i-ck,ch short_i k,engine engine engine,bank+seat+text,
chicken,42,ch-i-ck-e-n,ch short_i k short_e n,engine engine engine engine engine,seat,
chicks,26,ch-i-ck-s,ch short_i k s,engine engine engine engine,seat+text,
chief,63,ch-ie-f,ch long_e f,engine seat-rule engine,seat,
child,68,ch-i-l-d,ch long_i l d,engine lesson-68 engine engine,seat,
children,,ch-i-l-d-r-e-n,ch short_i l d r short_e n,engine engine engine engine engine engine engine,text,
chill,23,ch-i-ll,ch short_i l,engine engine engine,bank+seat,
chilled,44,ch-i-ll-e-d,ch short_i l silent d,expert expert expert expert expert,seat,"the -ed of level 44: voiced stem, e silent, d stays d"
chin,23,ch-i-n,ch short_i n,engine engine engine,bank+seat+text,
chip,23,ch-i-p,ch short_i p,engine engine engine,bank+seat,
chipmunk,42,ch-i-p-m-u-n-k,ch short_i p m short_u n k,engine engine engine engine engine engine engine,seat,
chop,23,ch-o-p,ch short_o p,engine engine engine,bank+seat+text,
chorus,94,ch-or-u-s,k or short_u s,engine engine engine engine,bank+seat+text,
chum,,ch-u-m,ch short_u m,engine engine engine,bank+text,
church,83,ch-ur-ch,ch er ch,engine engine engine,seat,
circle,87,c-ir-c-le,s er k l,position engine engine engine,seat,
circus,87,c-ir-c-u-s,s er k short_u s,position engine engine engine engine,seat,
cities,87,c-i-t-ie-s,s short_i t long_e z,expert expert expert expert expert,seat,open-syllable candidate at 72+ - expert decides the vowel
city,87,c-i-t-y,s short_i t long_e,position engine engine position,seat,open-syllable candidate at 72+ - expert decides the vowel
clap,34,c-l-a-p,k l short_a p,engine engine engine engine,bank+seat+text,
claw,82,c-l-aw,k l aw,engine engine engine,seat+text,
climb,89,c-l-i-mb,k l long_i m,expert expert expert expert,seat,
cloth,24,c-l-o-th,k l short_o th_quiet,engine engine engine engine,seat,
clue,76,c-l-ue,k l oo_moon,engine engine engine,seat,
coat,64,c-oa-t,k long_o t,engine engine engine,seat+text,
coats,64,c-oa-t-s,k long_o t s,engine engine engine engine,seat,
cobweb,41,c-o-b-w-e-b,k short_o b w short_e b,engine engine engine engine engine engine,seat+text,
cod,70,c-o-d,k short_o d,engine engine engine,bank+seat+text,
coin,78,c-oi-n,k oi n,engine engine engine,seat,
cold,68,c-o-l-d,k long_o l d,engine lesson-68 engine engine,seat+text,
come,64,c-o-m-e,k short_u m silent,engine engine engine engine,bank+seat+text,
comes,7,c-o-m-e-s,k short_u m silent z,expert expert expert expert expert,seat+text,
cop,4,c-o-p,k short_o p,engine engine engine,bank+seat+text,
cops,6,c-o-p-s,k short_o p s,engine engine engine engine,seat,
corn,81,c-or-n,k or n,engine engine engine,seat+text,
cost,4,c-o-s-t,k short_o s t,engine engine engine engine,bank+seat+text,
cot,4,c-o-t,k short_o t,engine engine engine,bank+seat,
cough,92,c-ough,k off,engine engine,bank+seat+text,
could,77,c-ou-l-d,k oo_book silent d,expert expert expert expert,seat+text,
cow,77,c-ow,k ow,engine seat-rule,seat+text,
crawl,82,c-r-aw-l,k r aw l,engine engine engine engine,seat+text,
cried,53,c-r-ie-d,k r long_i d,expert expert expert expert,seat,
crust,35,c-r-u-s-t,k r short_u s t,engine engine engine engine engine,seat,
cry,52,c-r-y,k r long_i,engine engine position,seat,
cub,40,c-u-b,k short_u b,engine engine engine,bank+seat+text,
cube,76,c-u-b-e,k long_u b silent,engine engine engine engine,seat+text,
cuff,70,c-u-ff,k short_u f,engine engine engine,bank+seat+text,
cup,40,c-u-p,k short_u p,engine engine engine,bank+seat+text,
cups,56,c-u-p-s,k short_u p s,engine engine engine engine,bank+seat+text,
curl,83,c-ur-l,k er l,engine engine engine,seat+text,
cut,70,c-u-t,k short_u t,engine engine engine,bank+seat+text,
cute,76,c-u-t-e,k long_u t silent,engine engine engine engine,seat,
dab,12,d-a-b,d short_a b,engine engine engine,bank+seat,
dad,8,d-a-d,d short_a d,engine engine engine,bank+seat+text,
dam,70,d-a-m,d short_a m,engine engine engine,bank+seat+text,
dark,79,d-ar-k,d ar k,engine engine engine,seat+text,
darkness,99,d-ar-k-n-e-ss,d ar k n short_e s,engine engine engine engine engine engine,seat,
dash,70,d-a-sh,d short_a sh,engine engine engine,bank+seat+text,
day,58,d-ay,d long_a,engine engine,seat+text,
deal,62,d-ea-l,d long_e l,engine seat-rule engine,seat,
deck,70,d-e-ck,d short_e k,engine engine engine,bank+seat+text,
deep,61,d-ee-p,d long_e p,engine engine engine,seat+text,
deer,84,d-eer,d ear,engine engine,seat+text,
den,8,d-e-n,d short_e n,engine engine engine,bank+seat+text,
desk,16,d-e-s-k,d short_e s k,engine engine engine engine,bank+seat+text,
desks,32,d-e-s-k-s,d short_e s k s,engine engine engine engine engine,seat,
dew,76,d-ew,d oo_moon,engine engine,seat+text,
did,8,d-i-d,d short_i d,engine engine engine,bank+seat+text,
dig,,d-i-g,d short_i g,engine engine engine,bank+text,
digging,46,d-i-gg-i-ng,d short_i g short_i ng,engine engine engine engine engine,seat,
dim,70,d-i-m,d short_i m,engine engine engine,bank+seat+text,
dime,66,d-i-m-e,d long_i m silent,engine engine engine engine,seat,
dinner,49,d-i-nn-er,d short_i n er,engine engine engine engine,seat+text,
dinosaur,82,d-i-n-o-s-au-r,d long_i n schwa s aw r,expert expert expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
dip,8,d-i-p,d short_i p,engine engine engine,bank+seat+text,
dirt,83,d-ir-t,d er t,engine engine engine,seat+text,
disagree,97,d-i-s-a-g-r-ee,d short_i s short_a g r long_e,engine engine engine engine engine engine engine,seat+text,open-syllable candidate at 72+ - expert decides the vowel
dish,22,d-i-sh,d short_i sh,engine engine engine,bank+seat+text,
dishes,97,d-i-sh-e-s,d short_i sh short_e z,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel; final s buzzes to z after a voiced sound
dislike,97,d-i-s-l-i-k-e,d short_i s l long_i k silent,engine engine engine engine engine engine engine,seat+text,open-syllable candidate at 72+ - expert decides the vowel
dive,66,d-i-ve,d long_i v,engine engine engine,seat+text,
do,20,d-o,d oo_moon,engine engine,bank+seat+text,
dock,70,d-o-ck,d short_o k,engine engine engine,bank+seat+text,
dog,9,d-o-g,d short_o g,engine engine engine,bank+seat+text,
dogs,9,d-o-g-s,d short_o g z,engine engine engine engine,bank+seat+text,
doll,21,d-o-ll,d short_o l,engine engine engine,bank+seat+text,
dolphin,91,d-o-l-ph-i-n,d short_o l f short_i n,engine engine engine engine engine engine,seat+text,open-syllable candidate at 72+ - expert decides the vowel
dot,80,d-o-t,d short_o t,engine engine engine,bank+seat,
dough,92,d-ough,d long_o,engine engine,bank+seat+text,
down,77,d-ow-n,d ow n,engine seat-rule engine,seat+text,
draw,82,d-r-aw,d r aw,engine engine engine,seat+text,
dressed,43,d-r-e-ss-e-d,d r short_e s silent t,expert expert expert expert expert expert,seat+text,"the -ed of level 43: voiceless stem, e silent, d says t"
dried,53,d-r-ie-d,d r long_i d,expert expert expert expert,seat+text,
drilled,44,d-r-i-ll-e-d,d r short_i l silent d,expert expert expert expert expert expert,seat,"the -ed of level 44: voiced stem, e silent, d stays d"
drink,35,d-r-i-n-k,d r short_i n k,engine engine engine engine engine,seat,
drop,34,d-r-o-p,d r short_o p,engine engine engine engine,bank+seat+text,
drum,34,d-r-u-m,d r short_u m,engine engine engine engine,bank+seat+text,
dry,52,d-r-y,d r long_i,engine engine position,seat+text,
duck,26,d-u-ck,d short_u k,engine engine engine,bank+seat+text,
dug,30,d-u-g,d short_u g,engine engine engine,bank+seat+text,
dust,14,d-u-s-t,d short_u s t,engine engine engine engine,seat+text,
dustbin,39,d-u-s-t-b-i-n,d short_u s t b short_i n,engine engine engine engine engine engine engine,seat+text,
each,62,ea-ch,long_e ch,seat-rule engine,seat+text,
eagle,62,ea-g-le,long_e g l,seat-rule engine engine,seat,
eagles,62,ea-g-l-e-s,long_e g l silent z,expert expert expert expert expert,seat+text,
ear,84,ear,ear,engine,seat,
ears,84,ear-s,ear z,expert expert,seat,final s buzzes to z after a voiced sound
eat,62,ea-t,long_e t,seat-rule engine,seat+text,
eating,62,ea-t-i-ng,long_e t short_i ng,seat-rule engine engine engine,seat,
eclectic,,e-c-l-e-c-t-i-c,short_e k l short_e k t short_i k,engine engine engine engine engine engine engine engine,text,
edge,88,e-dge,short_e j,engine engine,seat+text,
eight,59,eigh-t,long_a t,engine engine,seat+text,
elephant,91,e-l-e-ph-a-n-t,short_e l short_e f short_a n t,engine engine engine engine engine engine engine,seat+text,open-syllable candidate at 72+ - expert decides the vowel
end,8,e-n-d,short_e n d,engine engine engine,bank+seat+text,
ended,45,e-n-d-e-d,short_e n d short_e d,engine engine engine engine engine,seat+text,
endless,99,e-n-d-l-e-ss,short_e n d l short_e s,engine engine engine engine engine engine,seat+text,
enjoy,78,e-n-j-oy,short_e n j oi,engine engine engine engine,seat+text,
enough,92,e-n-ough,short_e n uf,engine engine engine,bank+seat+text,
ever,16,e-v-er,short_e v er,engine engine engine,seat+text,
every,51,e-v-er-y,short_e v er long_e,engine engine engine position,seat+text,
fall,80,f-al-l,f aw l,engine engine engine,seat+text,
fan,11,f-a-n,f short_a n,engine engine engine,bank+seat+text,
fang,28,f-a-ng,f short_a ng,engine engine engine,bank+seat,
far,79,f-ar,f ar,engine engine,seat+text,
farm,79,f-ar-m,f ar m,engine engine engine,seat+text,
farmer,79,f-ar-m-er,f ar m er,engine engine engine engine,seat,
farms,79,f-ar-m-s,f ar m z,expert expert expert expert,seat,final s buzzes to z after a voiced sound
fast,11,f-a-s-t,f short_a s t,engine engine engine engine,bank+seat+text,
fat,11,f-a-t,f short_a t,engine engine engine,bank+seat+text,
fax,18,f-a-x,f short_a x,engine engine engine,bank+seat,
feather,69,f-ea-th-er,f short_e th_this er,expert expert expert expert,seat,
fed,11,f-e-d,f short_e d,engine engine engine,bank+seat+text,
feed,61,f-ee-d,f long_e d,engine engine engine,seat+text,
feel,61,f-ee-l,f long_e l,engine engine engine,seat+text,
feet,61,f-ee-t,f long_e t,engine engine engine,seat+text,
fell,21,f-e-ll,f short_e l,engine engine engine,bank+seat+text,
fetch,88,f-e-tch,f short_e ch,engine engine engine,seat+text,
few,76,f-ew,f long_u,expert expert,seat+text,
field,63,f-ie-l-d,f long_e l d,engine seat-rule engine engine,seat,
fig,,f-i-g,f short_i g,engine engine engine,bank+text,
fill,21,f-i-ll,f short_i l,engine engine engine,seat+text,
filled,44,f-i-ll-e-d,f short_i l silent d,expert expert expert expert expert,seat+text,"the -ed of level 44: voiced stem, e silent, d stays d"
fin,11,f-i-n,f short_i n,engine engine engine,bank+seat,
finally,51,f-i-n-al-l-y,f long_i n schwa l long_e,expert expert expert expert expert expert,seat+text,
find,11,f-i-n-d,f long_i n d,engine engine engine engine,bank+seat+text,
fine,66,f-i-n-e,f long_i n silent,engine engine engine engine,seat+text,
first,83,f-ir-s-t,f er s t,engine engine engine engine,seat+text,
fish,22,f-i-sh,f short_i sh,engine engine engine,bank+seat+text,
fishing,37,f-i-sh-i-ng,f short_i sh short_i ng,engine engine engine engine engine,seat+text,
fit,11,f-i-t,f short_i t,engine engine engine,bank+seat+text,
five,66,f-i-ve,f long_i v,engine engine engine,seat+text,
fix,18,f-i-x,f short_i x,engine engine engine,bank+seat+text,
fizz,80,f-i-zz,f short_i z,engine engine engine,bank+seat,
flag,,f-l-a-g,f l short_a g,engine engine engine engine,bank+text,
flat,34,f-l-a-t,f l short_a t,engine engine engine engine,bank+seat+text,
flies,67,f-l-ie-s,f l long_i z,expert expert expert expert,seat+text,final s buzzes to z after a voiced sound
flowers,77,f-l-ow-er-s,f l ow er z,expert expert expert expert expert,seat+text,final s buzzes to z after a voiced sound
fly,52,f-l-y,f l long_i,engine engine position,seat+text,
fog,11,f-o-g,f short_o g,engine engine engine,bank+seat+text,
fold,68,f-o-l-d,f long_o l d,engine lesson-68 engine engine,seat+text,
for,81,f-or,f or,engine engine,bank+seat+text,
fought,92,f-ough-t,f aw t,engine seat-rule engine,seat,
found,77,f-ou-n-d,f ow n d,engine engine engine engine,seat+text,
fox,18,f-o-x,f short_o x,engine engine engine,bank+seat+text,
foxes,47,f-o-x-e-s,f short_o x short_e z,expert expert expert expert expert,seat+text,final s buzzes to z after a voiced sound
freight,59,f-r-eigh-t,f r long_a t,engine engine engine engine,seat+text,
frog,15,f-r-o-g,f r short_o g,engine engine engine engine,seat+text,
from,15,f-r-o-m,f r short_o m,engine engine engine engine,bank+seat+text,
fudge,88,f-u-dge,f short_u j,engine engine engine,seat+text,
fun,14,f-u-n,f short_u n,engine engine engine,bank+seat+text,
funny,51,f-u-nn-y,f short_u n long_e,engine engine engine position,seat+text,
fuss,80,f-u-ss,f short_u s,engine engine engine,bank+seat+text,
future,96,f-u-tu-re,f long_u ch er,expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
fuzz,80,f-u-zz,f short_u z,engine engine engine,bank+seat,
game,57,g-a-m-e,g long_a m silent,engine engine engine engine,seat+text,
gap,9,g-a-p,g short_a p,engine engine engine,bank+seat,
gas,9,g-a-s,g short_a s,engine engine engine,bank+seat,
gash,80,g-a-sh,g short_a sh,engine engine engine,bank+seat,
gate,57,g-a-t-e,g long_a t silent,engine engine engine engine,seat+text,
gates,57,g-a-t-e-s,g long_a t silent s,expert expert expert expert expert,seat,
gave,57,g-a-ve,g long_a v,engine engine engine,seat+text,
gem,87,g-e-m,j short_e m,position engine engine,seat,
generous,87,g-e-n-er-ou-s,j short_e n er schwa s,expert expert expert expert expert expert,seat+text,
germ,87,g-er-m,j er m,position engine engine,seat,
get,9,g-e-t,g short_e t,engine engine engine,bank+seat+text,
gets,9,g-e-t-s,g short_e t s,engine engine engine engine,seat+text,
getting,46,g-e-tt-i-ng,g short_e t short_i ng,engine engine engine engine engine,seat,
gift,11,g-i-f-t,g short_i f t,engine engine engine engine,bank+seat+text,
gifts,32,g-i-f-t-s,g short_i f t s,engine engine engine engine engine,seat,
ginger,87,g-i-n-g-er,j short_i n j er,expert expert expert expert expert,seat,open-syllable candidate at 72+ - expert decides the vowel; tiling corrected: ng must not fuse across gin+ger
girl,83,g-ir-l,g er l,engine engine engine,seat+text,
glad,34,g-l-a-d,g l short_a d,engine engine engine engine,bank+seat+text,
gladly,53,g-l-a-d-l-y,g l short_a d l long_e,engine engine engine engine engine position,seat+text,
glasses,41,g-l-a-ss-e-s,g l short_a s short_e z,expert expert expert expert expert expert,seat+text,final s buzzes to z after a voiced sound
glue,76,g-l-ue,g l oo_moon,engine engine engine,seat+text,
go,21,g-o,g long_o,engine engine,bank+seat+text,
goat,64,g-oa-t,g long_o t,engine engine engine,seat+text,
goats,70,g-oa-t-s,g long_o t s,engine engine engine engine,seat+text,
goes,65,g-oe-s,g long_o z,expert expert expert,seat,final s buzzes to z after a voiced sound
going,78,g-o-i-ng,g long_o short_i ng,expert expert expert expert,seat+text,tiling corrected: oi must not fuse across go+ing
gold,68,g-o-l-d,g long_o l d,engine lesson-68 engine engine,seat,
gong,28,g-o-ng,g short_o ng,engine engine engine,bank+seat+text,
good,75,g-oo-d,g oo_book d,engine seat-rule engine,seat+text,
goose,,g-oo-se,g oo_moon s,expert expert expert,text,no seat to rule by - expert decides
got,9,g-o-t,g short_o t,engine engine engine,bank+seat+text,
grab,34,g-r-a-b,g r short_a b,engine engine engine engine,bank+seat+text,
graph,91,g-r-a-ph,g r short_a f,engine engine engine engine,seat,
grass,21,g-r-a-ss,g r short_a s,engine engine engine engine,seat+text,
gravy,72,g-r-a-v-y,g r long_a v long_e,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
green,61,g-r-ee-n,g r long_e n,engine engine engine engine,seat+text,
grey,59,g-r-ey,g r long_a,engine engine seat-rule,seat,
grilled,44,g-r-i-ll-e-d,g r short_i l silent d,expert expert expert expert expert expert,seat,"the -ed of level 44: voiced stem, e silent, d stays d"
grin,34,g-r-i-n,g r short_i n,engine engine engine engine,bank+seat+text,
grow,65,g-r-ow,g r long_o,engine engine seat-rule,seat,
gum,40,g-u-m,g short_u m,engine engine engine,bank+seat+text,
gush,80,g-u-sh,g short_u sh,engine engine engine,bank+seat,
gut,80,g-u-t,g short_u t,engine engine engine,bank+seat,
had,10,h-a-d,h short_a d,engine engine engine,bank+seat+text,
ham,10,h-a-m,h short_a m,engine engine engine,bank+seat+text,
